area	type	diversity	ext	mean	desv1	desv2
cerrado	climate	functional	68	0.036974505	NA	NA
cerrado	climate	functional	74	0.032413591	NA	NA
cerrado	climate	functional	79	0.024686364	NA	NA
cerrado	land	functional	0	0.0483203	NA	NA
cerrado	land	functional	5	0.044069111	NA	NA
cerrado	land	functional	11	0.044202354	NA	NA
cerrado	land	functional	16	0.04363834	NA	NA
cerrado	land	functional	21	0.058926865	NA	NA
cerrado	land	functional	26	0.059553479	NA	NA
cerrado	land	functional	32	0.059116955	NA	NA
cerrado	land	functional	37	0.057068286	NA	NA
cerrado	land	functional	42	0.056973261	NA	NA
cerrado	land	functional	47	0.055486701	NA	NA
cerrado	land	functional	53	0.046764329	NA	NA
cerrado	land	functional	58	0.047661075	NA	NA
cerrado	land	functional	63	0.045212013	NA	NA
cerrado	land	functional	68	0.036974505	NA	NA
cerrado	land	functional	74	0.03105584	NA	NA
cerrado	land	functional	79	0.024686364	NA	NA
cerrado	climate	phy	0	0.004906738	NA	NA
cerrado	climate	phy	5	0.005755054	NA	NA
cerrado	climate	phy	11	0.004584194	NA	NA
cerrado	climate	phy	16	0.00593676	NA	NA
cerrado	climate	phy	21	0.004075151	NA	NA
cerrado	climate	phy	26	0.005358213	NA	NA
cerrado	climate	phy	32	0.004432125	NA	NA
cerrado	climate	phy	37	0.004700451	NA	NA
cerrado	climate	phy	42	0.004874603	NA	NA
cerrado	climate	phy	47	0.005367828	NA	NA
cerrado	climate	phy	53	0.005052881	NA	NA
cerrado	climate	phy	58	0.006022743	NA	NA
cerrado	climate	phy	63	0.006023591	NA	NA
cerrado	climate	phy	68	0.006291801	NA	NA
cerrado	climate	phy	74	0.007388965	NA	NA
cerrado	climate	phy	79	0.008246451	NA	NA
cerrado	land	phy	0	0.004906738	NA	NA
cerrado	land	phy	5	0.005318293	NA	NA
cerrado	land	phy	11	0.005091527	NA	NA
cerrado	land	phy	16	0.005402456	NA	NA
cerrado	land	phy	21	0.005622023	NA	NA
cerrado	land	phy	26	0.005059569	NA	NA
cerrado	land	phy	32	0.005281662	NA	NA
cerrado	land	phy	37	0.00608503	NA	NA
cerrado	land	phy	42	0.006284026	NA	NA
cerrado	land	phy	47	0.005367828	NA	NA
cerrado	land	phy	53	0.005052881	NA	NA
cerrado	land	phy	58	0.006022743	NA	NA
cerrado	land	phy	63	0.006023591	NA	NA
cerrado	land	phy	68	0.006291801	NA	NA
cerrado	land	phy	74	0.007044276	NA	NA
cerrado	land	phy	79	0.008246451	NA	NA
pantanal	climate	interaction	0	0.183471	NA	NA
pantanal	climate	interaction	5	0.142281425	NA	NA
pantanal	climate	interaction	10	0.126330819	NA	NA
pantanal	climate	interaction	14	0.121788841	NA	NA
